PLACE	VALUE
"AFGHANISTAN, ISLAMIC STATE OF"-Bust	0.1
"AFGHANISTAN, ISLAMIC STATE OF"-Chakhcharan	0.4
"AFGHANISTAN, ISLAMIC STATE OF"-Farah	0.1
"AFGHANISTAN, ISLAMIC STATE OF"-Gardiz	0.9
"AFGHANISTAN, ISLAMIC STATE OF"-Ghazni	0.5
"AFGHANISTAN, ISLAMIC STATE OF"-Kunduz	0.1
"AFGHANISTAN, ISLAMIC STATE OF"-Maimana	0.2
"AFGHANISTAN, ISLAMIC STATE OF"-Mazar-i-Sharif	0.2
"AFGHANISTAN, ISLAMIC STATE OF"-Qalai naw	0.6
"AFGHANISTAN, ISLAMIC STATE OF"-Sheberghan	0.2
"AFGHANISTAN, ISLAMIC STATE OF"-Zaranj	0.6
"IRAN, ISLAMIC REPUBLIC OF"-ABADAN	0.1
"IRAN, ISLAMIC REPUBLIC OF"-ARAK	0.7
"IRAN, ISLAMIC REPUBLIC OF"-BANDAR ABASS	0.8
"IRAN, ISLAMIC REPUBLIC OF"-BANDAR LENGEH	0.4
"IRAN, ISLAMIC REPUBLIC OF"-BIRJAND	0.2
"IRAN, ISLAMIC REPUBLIC OF"-CHAHBAHAR	0.1
"IRAN, ISLAMIC REPUBLIC OF"-DEZFUL	0.2
"IRAN, ISLAMIC REPUBLIC OF"-ESFAHAN	0.6
"IRAN, ISLAMIC REPUBLIC OF"-HAMEDAN NOZHEH	0.8
